OBJECTID,stationid,lat,long,River_Mout,POTW_Statu,POTW_Name,Stratum
1,B18-10000,33.759183329999999,-118.162633299999996,,,,Bay
2,B18-10001,33.753100000000003,-118.150183299999995,,,,Bay
3,B18-10002,33.744000000000000,-118.168733300000000,,,,Bay
4,B18-10003,33.743833000000002,-118.140100000000004,San Gabriel River,,,Bay
5,B18-10004,33.742883329999998,-118.153300000000002,,,,Bay
6,B18-10005,33.740682999999997,-118.174949999999995,,,,Bay
7,B18-10006,33.739633329999997,-118.171533299999993,,,,Bay
8,B18-10007,33.733683329999998,-118.211566700000006,,,,Bay
9,B18-10011,33.724432999999998,-118.224299999999999,,Small,TIWRP,Bay
10,B18-10012,33.713650000000001,-118.241566700000007,,,,Bay
11,B18-10013,33.712433330000003,-118.258200000000002,,,,Bay
12,B18-10014,33.710033000000003,-118.278850000000006,,,,Bay
13,B18-10411,33.736366670000002,-118.216933299999994,,,,Bay
14,B18-10417,33.731083329999997,-118.157366699999997,,,,Bay
15,B18-10015,32.787306129999997,-117.209991299999999,,,,Bay
16,B18-10016,32.784540560000003,-117.240592699999993,,,,Bay
17,B18-10017,32.784390960000003,-117.215313899999998,,,,Bay
18,B18-10019,32.768135770000001,-117.241724399999995,,,,Bay
19,B18-10020,32.758272259999998,-117.244392899999994,,,,Bay
20,B18-10438,32.766520000000000,-117.218540000000004,,,,Bay
21,B18-10022,32.724080000000001,-117.183070000000001,,,,Bay
22,B18-10023,32.717504329999997,-117.215560699999997,,,,Bay
23,B18-10024,32.714799999999997,-117.183019999999999,,,,Bay
24,B18-10029,32.701889999999999,-117.158929999999998,,,,Port
25,B18-10030,32.687841480000003,-117.230267299999994,,,,Bay
26,B18-10031,32.686650000000000,-117.133539999999996,,,,Port
27,B18-10032,32.675260000000002,-117.143969999999996,,,,Bay
28,B18-10034,32.665256390000003,-117.149849300000000,,,,Bay
29,B18-10035,32.660752639999998,-117.145430000000005,,,,Bay
30,B18-10036,32.658159400000002,-117.144371399999997,,,,Bay
31,B18-10037,32.646979999999999,-117.118219999999994,,,,Bay
32,B18-10038,32.642679999999999,-117.126239999999996,,,,Bay
33,B18-10039,32.641579440000001,-117.139037000000002,,,,Bay
34,B18-10040,32.641750000000002,-117.117080000000001,,,,Bay
35,B18-10041,32.628480000000003,-117.125399999999999,,,,Bay
36,B18-10042,32.625589210000001,-117.111271099999996,,,,Bay
37,B18-10043,32.616346030000003,-117.103199799999999,,,,Bay
38,B18-10044,32.614089999999997,-117.098770000000002,,,,
39,B18-10447,32.713900000000002,-117.188500000000005,,,,Bay
40,B18-10465,32.675100000000000,-117.165400000000005,,,,Bay
41,B18-10026,32.709499999999998,-117.186899999999994,,,,Bay
42,B18-10027,32.707400000000000,-117.185000000000002,,,,Bay
43,B18-10028,32.707000000000001,-117.189899999999994,,,,Bay
44,B18-10740,34.421280000000003,-119.659610000000001,,,,Freshwater Estuary
45,B18-10741,34.421660000000003,-119.661709999999999,,,,Freshwater Estuary
46,B18-10188,33.979289999999999,-118.424959999999999,,,,Freshwater Estuary
